name,cause of death,born,died,comments
Gore Vidal (writer),Pneumonia. ,"October 3, 1925","July 31, 2012","Wrote as Edgar Box after his controversial novel The City and the Pillar (a fairly tame novel on homosexuality) blacklisted him, wrote other novels (Julian, Myra Breckenridge), plays (Visit to a Small Planet) and commentaries.  twitter  IBDB  IMDb  Obituary"
Marvin Hamlisch (composer),,"June 2, 1944","August 6, 2012","Wrote music for The Way We Were and A Chorus Line, adapted Scott Joplin's ragtime music for The Sting. Probably the only person to win an Oscar, Tony, Grammy, Emmy and a Pulitzer Prize.  twitter  IBDB  IMDb  Obituary"
Judith Crist (critic/professor),,"May 22, 1922","August 7, 2012","Critic for the Today Show and New York Herald Tribune, she was a Columbia professor for many years.  Home Page  twitter  IMDb  Obituary"
"Al Freeman, Jr. (actor/professor)",,"March 21, 1934","August 9, 2012","My Sweet Charlie, played Elijah Muhammad in Malcolm X, first black man to win an acting Daytime Emmy.  twitter  IBDB  IMDb  Obituary"
Carlo Rambaldi (Special effects engineer),,"September 15, 1925","August 10, 2012",Special effects designer for Steven Spielberg (ET and Close Encounters of the Third Kind) and for the '70s King Kong.  twitter  IMDb  Obituary
Helen Gurley Brown (writer/editor),,"February 18, 1922","August 13, 2012","Sex and the Single Girl, longtime editor of Cosmopolitan, married to producer David Brown.  Home Page  twitter  IMDb  Obituary"
Ron Palillo (actor/artist),,"April 2, 1949","August 14, 2012","Horshack on Welcome Back Kotter, later sent himself up in a few Ellen episodes, active as a pen and ink artist and a teacher, died about 7 months after fellow Kotter alum RoHbert Hegyes.  twitter  IMDb  Obituary"
Phyllis Thaxter (actress),Alzheimer's disease. ,"November 20, 1919","August 14, 2012","Busy TV/movie actress in the '40s/'50s/'60s, played Ma Kent in the 1978 version of the movie Superman.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Harry Harrison (writer),,"March 12, 1925","August 15, 2012","Wrote the Stainless Steel Rat books, Make Room, Make Room (later adapted as the movie Soylent Green) and the Bill, the Galactic Hero books.  Home Page  twitter  IMDb  Obituary"
William Windom (actor),Congestive heart failure. ,"September 28, 1923","August 16, 2012","Many bit parts in movies, much TV (including Star Trek), won an Emmy for My World and Welcome To It, spent years on Murder She Wrote, played the D.A. in his first movie part in To Kill a Mockingbird.  twitter  IMDb  Obituary"
Tony Scott (director),Suicide (bridge leap). ,"June 21, 1944","August 19, 2012","Directed Top Gun and Crimson Tide, co-produced the TV series Numb3rs.  twitter  IMDb  Obituary"
Phyllis Diller (comedian),,"July 17, 1917","August 20, 2012","One of the first women stand-up comics on TV, she frequently performed with Bob Hope.  twitter  IMDb  Obituary"
Jerry Nelson (puppeteer),,"July 10, 1934","August 23, 2012",Muppet puppeteer who performced The Count and Robin.  Home Page  twitter  IMDb  Obituary
Josepha Sherman (editor/writer),,"December 12, 1946","August 23, 2012","An editor and folklorist who also wrote media tie-in books (Star Trek, Buffy)  Home Page  twitter  Obituary"
Neil Armstrong (astronaut),Complications of heart surgery. ,"August 5, 1930","August 25, 2012",First man to walk on the moon...left many footprints...  Home Page  twitter  IMDb  Obituary
Hal David (lyricist),Stroke. ,"May 25, 1921","September 1, 2012","Longtime collaborator of Burt Bacharach, wrote the lyrics for songs like ""Raindrops Keep Fallin' on my Head"" and ""Alfie.""  Home Page  twitter  IBDB  IMDb  Obituary"
Michael Clarke Duncan (actor),Aftereffects of a heart attack. ,"December 10, 1957","September 3, 2012","The Green Mile, Armageddon, voicework for Kung Fu Panda.  Home Page  twitter  IMDb  Obituary"
Andy Williams (singer),Bladder cancer. ,"December 3, 1927","September 25, 2012","Probably best-known for ""Moon River"" and ""The Days of Wine and Roses,"" he was one of the first Branson theater owners, once married to Claudine Longet, an early champion of The Osmond Brothers.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Herbert Lom (actor),,"January 9, 1917","September 27, 2012",Best-known as Dreyfus in the Pink Panther flicks.  twitter  IMDb  Obituary
Michael O'Hare (actor),Heart attack. ,"May 6, 1952","September 28, 2012",Best-known for playing Jeffrey Sinclair in Babylon 5  Home Page  twitter  IBDB  IMDb
Alex Karras (actor/football player),"Kidney failure, stomach cancer, dementia. ","July 15, 1935","October 10, 2012","Former Detroit Lion who went on to do football commentary and acting, including memorable supporting roles in Blazing Saddles and Victor, Victoria, married to Susan Clark.  twitter  IMDb  Obituary  FindAGrave"
Gary Collins (actor),,"April 30, 1938","October 13, 2012","Performed in many '60s and '70s TV shows and served as the MC of the Miss America Pageant in the '80s and '90s, married to Mary Ann Mobley for nearly 45 years.  twitter  IMDb  Obituary  FindAGrave"
George McGovern (politician),,"July 19, 1922","October 21, 2012",Liberal senator who ran for president and lost the 1972 election to Richard Nixon (and don't blame the people from Massachusetts for Nixon...).  Home Page  twitter  IMDb  Obituary  FindAGrave
"Art ""Mr. Food"" Ginsburg (TV chef)",Pancreatic cancer. ,"July 29, 1931","November 21, 2012","Butcher who created and sold short cooking segments to local stations, ending each show with ""Oooh, it's so good!""  Home Page  twitter  Obituary"
Deborah Raffin (actress/entrepreneur),Leukemia. ,"March 13, 1953","November 21, 2012","Once Is Not Enough, Noble House, a founder of Dove Books-on-Tape which published many books including A Brief History of Time in audio.  twitter  IMDb  Obituary"
Diana Birkenfield (Muppets producer),,"March 3, 1926","November 22, 2012",One of the longtime producers of The Muppet Show and Fraggle Rock.  twitter  IMDb  Obituary
Larry Hagman (actor),Throat cancer. ,"September 21, 1931","November 23, 2012","Lived for years after a liver transplant, starred in Dallas (and its reboot) and I Dream of Jeannie, son of Mary Martin.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Joseph Murray (surgeon),Stroke. ,"April 1, 1919","November 26, 2012","Performed the first kidney transplant in 1954, later won a Nobel Prize for that, was a leading plastic surgeon, wrote his autobiography, Surgery Of The Soul: Reflections on a Curious Career.  Home Page  twitter  Obituary"
Zig Ziglar (motivational speaker),Pneumonia. ,"November 6, 1926","November 28, 2012","Folksy, popular speaker who wrote books like See You At the Top and Raising Positive Kids in a Negative World.  twitter  Obituary  FindAGrave"
Susan Luckey (actress/singer),,"April 4, 1938","November 29, 2012","Appeared in three classic musicals, The Music Man (as Zaneeta Shin), Carousel (as Louisa Bigelow) and the original Mary Martin Peter Pan (as an Indian).  twitter  IBDB  IMDb  Obituary"
Eileen Moran (special effects producer),Cancer ,"January 23, 1952","December 2, 2012","Produced effects for many movies, including The Hobbit, The Lord of the Rings and Avatar.  twitter  IMDb  Obituary"
Dave Brubeck (jazz pianist and composer),Heart failure (day before his 92nd birthday) ,"December 6, 1920","December 5, 2012","Wanted to be a rancher; instead, helped popularize jazz in America with pieces like ""Take Five."" Biography: It's About Time: The Dave Brubeck Story.  Home Page  twitter  IMDb  Obituary"
N. Joseph Woodland (engineer/inventor),,"September 6, 1921","December 9, 2012","Patented the basic concept behind what would become the bar code in the early '50s, about 30 years before it became commonly used.  Home Page  twitter  Obituary  FindAGrave"
Ravi Shankar (sitarist/60s icon),After-effects of heart surgery. ,"April 7, 1920","December 11, 2012","Famous friend of the Beatles, particularly George Harrison, who called him ""the godfather of world music."" Father of sitarist Anoushka Shankar and singer Norah Jones.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Rachel D'Avino (Teacher/hero),Murdered by semiautomatic-carrying gunman. ,"July 17, 1983","December 14, 2012",Teacher's aide who worked with special needs students and was murdered protecting her students. Make memorial contributions to Rachel D'Avino Memorial Fund.  twitter  Obituary
Dawn Hochsprung (Principal/hero),Murdered by semiautomatic-carrying gunman. ,circa 1965,"December 14, 2012","One of the first people murdered in the Newtown gun massacre, she ran a school so well that she inspired the teachers to protect the children no matter what. Make memorial contributions to the Dawn Hochsprung Memorial Fund.  twitter  Obituary"
Anne Marie Murphy (Teacher/hero),Murdered by semiautomatic-carrying gunman. ,"July 25, 1960","December 14, 2012","Special education teacher who was murdered shielding her students from the Newtown gunman, make memorial contributions to Autism Speaks.  twitter  Obituary"
Lauren Rousseau (Teacher/hero),Murdered by semiautomatic-carrying gunman. ,"June 8, 1982","December 14, 2012",Murdered along with her students.  twitter  Obituary
Mary Sherlach (Psychologist/hero),Murdered by semiautomatic-carrying gunman. ,circa 1956,"December 14, 2012",Tried to rush the gunman with the principal before he got further into the school.  twitter  Obituary
Vicki Soto (Teacher/hero),Murdered by semiautomatic-carrying gunman. ,circa 1985,"December 14, 2012",Teacher murdered after hiding her students from the Newtown gunman.  twitter  Obituary
Jean Harris (headmistress),,"April 27, 1923","December 23, 2012","Murdererd her longtime lover (the Scarsdale Diet Doctor), but, while in prison, started a number of programs for incarcerated women.  twitter  IMDb  Obituary"
Charles Durning (actor),,"February 28, 1923","December 24, 2012","Won a Tony Award for a revival of Cat on a Hot Tin Roof, Pappy O'Daniel in O Brother Where Art Thou, Snyder in The Sting, fought at the Battle of Normandy and the Battle of the Bulge.  Home Page  twitter  IBDB  IMDb  Obituary"
Jack Klugman (actor),,"April 27, 1922","December 24, 2012","Missing a vocal cord; Oscar on TV's Odd Couple, also played Quincy, stayed married to Brett Somers while separated from her for many years, got married again in 2008.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Gerry Anderson (TV producer),,"April 14, 1929","December 26, 2012","Creator of many kids' TV shows, usually with puppets: Thunderbirds, Supercar and the ""adult"" show without: Space: 1999, married to frequent collaborator Sylvia Anderson from 1962-1975.  Home Page  twitter  IMDb  Obituary"
"Harry Carey, Jr. (cowboy actor)",,"May 16, 1921","December 27, 2012","In dozens of Westerns, from Red River to Tombstone.  twitter  IMDb  Obituary"
Norman Schwarzkopf (soldier),Pneumonia. ,"August 22, 1934","December 27, 2012","A leader of Desert Storm, his father was a New Jersey cop who helped investigate the kidnapping of the Lindbergh baby.  twitter"
Anne Francis (actress),Pancreatic cancer. ,"September 16, 1930","January 2, 2011","Honey West and many more movies than you'd think, including the classic Forbidden Planet, and a guest spot on a Twilight Zone episode about a very dedicated shopper.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Pete Postlethwaite (actor),Lung cancer. ,"February 7, 1946","January 2, 2011","Obediah in the Sharpe series, Danny in Brassed Off, Oscar-nominated for In the Name of the Father he appeared in Inception and The Town during the last year of his life.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Gerry Rafferty (singer/songwriter),Liver failure/alcoholism. ,"April 16, 1947","January 4, 2011","Played in a group with Billy Connolly before writing and performing '70s songs like ""Stuck in the Middle with You"" and the very evocative ""Baker Street"" (""He's gonna give up the booze and the one night stands, and then he'll settle down in some quiet little town and forget about everything."")  IMDb  Obituary  FindAGrave"
Dick King-Smith (writer/farmer),,"March 27, 1922","January 4, 2011","After many years of farming, wrote books like The Sheep-Pig (later made into Babe) and The Water Horse.  IMDb  Obituary"
Jack Oliver (geophysicist),,"September 26, 1923","January 5, 2011",Proved the theory of continental drift.  Obituary
John Roll (federal judge),Murdered by terrorist. ,"February 8, 1947","January 8, 2011","Arizona federal judge who was ""collateral damage"" in the Representative Gabrielle Giffords assassination attempt (19 shot, 6 killed by a shooter with a legally-purchased semi-automatic weapon). Ironically ruled against background checks for gun buyers in 1994.  Home Page"
Christina Taylor Green (student),Murdered by terrorist. ,"September 11, 2001","January 8, 2011","Youngest Arizona shooting victim, who ironically was born on 9/11 and died by a later act of terrorism.  Obituary"
Peter Yates (director),,"July 24, 1928","January 9, 2011","Bullitt, Breaking Away, The Dresser.  Home Page  IMDb  Obituary  FindAGrave"
John Dye (actor),,"January 31, 1963","January 10, 2011",Andrew on Touched by an Angel.  IMDb  Obituary  FindAGrave
Margaret Whiting (singer),,"July 22, 1924","January 10, 2011","Known for ""That Old Black Magic"" and ""Moonlight in Vermont,"" married for fifteen years to Jack Wrangler.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
David Nelson (former actor/director),Colon cancer. ,"October 24, 1936","January 11, 2011","The Ozzie and Harriett Show, Circus of the Stars (late '70s)  IMDb Obituary  FindAGrave"
Susannah York (actress),Cancer. ,"January 9, 1939","January 15, 2011","Tom Jones, They Shoot Horses, Don't They? (for which she received a Supporting Actress Oscar nomination), The Shout and Superman.  IMDb  Obituary  FindAGrave"
Don Kirshner (music publisher/producer),Heart failure. ,"April 17, 1943","January 17, 2011","Very old friend of Bobby Darin, Kirshner went on to publish music by Carole King and Neil Sedaka, and later helped start groups like The Monkees and the Archies.  IMDb  Obituary  FindAGrave"
Sargent Shriver (public servant),,"November 9, 1915","January 18, 2011","First director of the Peace Corps, started VISTA and HeadStart.  Home Page  IMDb  Obituary  FindAGrave"
Jack LaLanne (fitness guru),Pneumonia. ,"September 26, 1914","January 23, 2011","Had an exercise TV show from the '50s until the '80s, exercised for hours a day until shortly before his death, famously said ""I can't die. It would ruin my image.""  Home Page  IMDb  Obituary  FindAGrave"
